(maxduration 500)

(initial_agentposition (pos-r 2) (pos-c 5) (direction south))
(prior-cell (pos-r 8) (pos-c 7) (contains Empty))
(prior-cell (pos-r 7) (pos-c 7) (contains Empty))
(prior-cell (pos-r 6) (pos-c 7) (contains Empty))
(prior-cell (pos-r 5) (pos-c 7) (contains Empty))
(prior-cell (pos-r 4) (pos-c 7) (contains Seat))
(prior-cell (pos-r 3) (pos-c 7) (contains Empty))
(prior-cell (pos-r 2) (pos-c 7) (contains Empty))
(prior-cell (pos-r 1) (pos-c 7) (contains Wall))
(prior-cell (pos-r 10) (pos-c 8) (contains Wall))
(prior-cell (pos-r 9) (pos-c 8) (contains TB))
(prior-cell (pos-r 8) (pos-c 8) (contains Empty))
(prior-cell (pos-r 7) (pos-c 8) (contains Seat))
(prior-cell (pos-r 6) (pos-c 8) (contains Table))
(prior-cell (pos-r 5) (pos-c 8) (contains Empty))
(prior-cell (pos-r 4) (pos-c 8) (contains Empty))
(prior-cell (pos-r 3) (pos-c 8) (contains Empty))
(prior-cell (pos-r 2) (pos-c 8) (contains DD))
(prior-cell (pos-r 1) (pos-c 8) (contains Wall))
(prior-cell (pos-r 10) (pos-c 9) (contains Wall))
(prior-cell (pos-r 9) (pos-c 9) (contains RB))
(prior-cell (pos-r 8) (pos-c 9) (contains Empty))
(prior-cell (pos-r 7) (pos-c 9) (contains Seat))
(prior-cell (pos-r 6) (pos-c 9) (contains Empty))
(prior-cell (pos-r 5) (pos-c 9) (contains Empty))
(prior-cell (pos-r 4) (pos-c 9) (contains Empty))
(prior-cell (pos-r 3) (pos-c 9) (contains FD))
(prior-cell (pos-r 2) (pos-c 9) (contains Empty))
(prior-cell (pos-r 1) (pos-c 9) (contains Wall))
(prior-cell (pos-r 10) (pos-c 10) (contains Wall))
(prior-cell (pos-r 9) (pos-c 10) (contains Wall))
(prior-cell (pos-r 8) (pos-c 10) (contains Wall))
(prior-cell (pos-r 7) (pos-c 10) (contains Wall))
(prior-cell (pos-r 6) (pos-c 10) (contains Wall))
(prior-cell (pos-r 5) (pos-c 10) (contains Wall))
(prior-cell (pos-r 4) (pos-c 10) (contains Wall))
(prior-cell (pos-r 3) (pos-c 10) (contains Wall))
(prior-cell (pos-r 2) (pos-c 10) (contains Wall))
(prior-cell (pos-r 1) (pos-c 10) (contains Wall))
